DATETIME,MS
2019-08-01T01:22:15.000000Z,4.4
2019-07-14T23:01:36.000000Z,4.4
2019-07-14T05:39:24.000000Z,6.7
2019-05-30T02:26:50.000000Z,4
2018-12-16T14:26:21.000000Z,5.7
2018-11-08T21:07:00.000000Z,4.6
2018-09-16T04:56:24.000000Z,4.8
2012-07-20T09:11:30.000000Z,4
2012-06-19T10:53:29.000000Z,4.4
2016-08-18T04:30:08.000000Z,5.4
2016-05-20T18:14:02.000000Z,6.1
2015-08-01T03:38:45.000000Z,4.8
2015-07-29T23:41:40.000000Z,5.5
2011-12-05T19:10:03.000000Z,4.9
2011-04-16T05:31:19.000000Z,4.4
