DATETIME,mb,MW
1981-11-15T16:58:11.000000Z,4.3,4.1
1986-03-30T08:53:53.000000Z,5.8,5.71
1986-07-11T07:17:56.000000Z,5.6,5.32
1987-01-09T11:27:16.000000Z,5.1,5.41
1988-01-22T00:35:59.000000Z,6.1,6.25
1988-01-22T03:57:26.000000Z,6.1,6.38
1988-01-22T12:04:59.000000Z,6.5,6.76
1988-01-22T20:54:04.000000Z,5.8,5.35
1989-12-27T23:26:57.000000Z,5.7,5.42
1994-08-06T11:03:51.000000Z,5.3,4.71
1996-09-25T07:49:57.000000Z,4.7,4.44
1997-08-10T09:20:33.000000Z,5.8,6.21
2002-03-30T21:15:45.000000Z,4.7,4.6
2004-02-11T09:30:42.000000Z,5.0,4.9
2004-11-24T02:42:56.000000Z,4.7,4.16
2009-01-31T08:47:02.000000Z,4.2,3.83
2009-09-05T03:00:52.000000Z,4.0,4.03
2010-04-20T00:17:09.000000Z,4.9,4.16
2010-11-29T11:16:39.000000Z,4.1,4.09
2012-03-23T09:25:12.000000Z,5.6,5.18
2014-09-26T15:38:16.000000Z,4.61,4.02
2014-10-31T19:15:25.000000Z,4.48,3.88
2015-10-13T06:54:56.000000Z,4.44,4.08
2016-04-28T16:52:44.000000Z,4.4,3.75
2016-07-08T09:40:52.000000Z,5.2,4.97
2016-11-06T09:54:32.000000Z,4.8,4.48
2018-09-16T04:56:24.000000Z,5.2360801,5.25264889
2018-12-16T14:26:21.000000Z,5.71168794,5.85092492
2019-05-30T02:26:50.000000Z,5.63173827,4.86784404
2019-07-14T05:39:24.000000Z,6.35791224,6.55122597
2019-08-01T01:22:15.000000Z,5.19336681,4.98775771
2021-01-29T19:47:55.000000Z,5.7657236,5.57672926
2021-06-24T06:57:02.000000Z,5.60608662,5.11539994
2021-09-21T23:15:53.000000Z,5.83185068,5.86849626
2021-11-13T13:05:52.000000Z,5.69924278,5.32347935
2021-11-13T13:05:52.663000Z,5.699,5.323
2022-01-24T21:24:47.666000Z,4.9,4.5
2023-04-17T09:02:57.386000Z,4.9,4.69268914
