SRC_NAME,CODE,SRC_TYPE,CLASS,SRC_WEIGHT,RTE_ADJ_F,DEP_BEST,DEP_UPPER,DEP_LOWER,USD,LSD,OW_LSD,MIN_MAG,MIN_RMAG,MMAX_BEST,MMAX_LOWER,MMAX_UPPER,N0_BEST,N0_LOWER,N0_UPPER,BVAL_BEST,BVAL_LOWER,BVAL_UPPER,BVAL_FIX,BVAL_FIX_S,YCOMP,MCOMP,CAT_YMAX,PREF_STK,PREF_DIP,PREF_RKE,SHMAX,SHMAX_SIG,TRT,GMM_TRT,DOMAIN,CAT_FILE
Zone 1a,ZN1a,area,2.0,1.0,1.0,5.0,2.5,10.0,0.0,20.0,999,4.5,3.0,7.3,7.1,7.5,13361.06,16348.69,10826.86,1.291,1.335,1.247,-99.0,-99.0,1966;1957;1945;1885,2.95;4.05;4.55;5.65,2022.543,-999.0,-999.0,-999.0,99.75,15.0,Cratonic,Cratonic,1,NSHA18CAT_V0.1_hmtk_declustered.csv
Zone 1b,ZN1b,area,1.0,1.0,1.1859,5.0,2.5,10.0,0.0,20.0,999,4.5,3.3,7.3,7.1,7.5,2792.501,3440.603,2232.14,1.016,1.062,0.971,-99.0,-99.0,1979;1970;1960;1958;1905;1880,3.05;3.95;4.55;4.95;6.05;6.45,2022.543,-999.0,-999.0,-999.0,28.18,31.24,Cratonic,Cratonic,1,NSHA18CAT_V0.1_hmtk_declustered.csv
Zone 2,ZN2,area,2.0,1.0,1.0,10.0,5.0,15.0,0.0,20.0,999,4.5,3.0,7.5,7.3,7.7,59408.39,76572.02,46004.36,1.291,1.335,1.247,-99.0,-99.0,1966;1957;1945;1885,2.95;4.05;4.55;5.65,2022.543,-999.0,-999.0,-999.0,100.2,15.0,Non_cratonic,Non_cratonic,2,NSHA18CAT_V0.1_hmtk_declustered.csv
Zone 3a,ZN3a,area,2.0,1.0,1.0,10.0,5.0,15.0,0.0,20.0,999,4.5,3.0,7.5,7.3,7.7,11554.95,14052.56,9410.758,1.291,1.335,1.247,-99.0,-99.0,1966;1960;1957;1945;1885,2.85;3.45;4.05;4.55;5.45,2022.543,-999.0,-999.0,-999.0,138.94,15.0,Non_cratonic,Non_cratonic,2,NSHA18CAT_V0.1_hmtk_declustered.csv
Zone 3b,ZN3b,area,3.0,1.0,1.0,5.0,2.5,10.0,0.0,20.0,999,4.5,3.2,7.5,7.3,7.7,7506.196,10431.22,5380.84,0.989,1.043,0.935,-99.0,-99.0,1979;1970;1960;1958;1905;1880,3.05;3.95;4.55;4.95;6.05;6.45,2022.543,-999.0,-999.0,-999.0,77.36,23.2,Cratonic,Cratonic,3,NSHA18CAT_V0.1_hmtk_declustered.csv
Zone 4,ZN4,area,4.0,1.0,1.0,10.0,5.0,15.0,0.0,20.0,999,4.5,3.0,7.5,7.3,7.7,92756.58,117766.9,72977.88,1.249,1.289,1.209,-99.0,-99.0,1975;1965;1900;1880,2.95;4.45;6.05;6.45,2022.543,-999.0,-999.0,-999.0,74.72,30.1,Non_cratonic,Non_cratonic,4,NSHA18CAT_V0.1_hmtk_declustered.csv
Zone 5,ZN5,area,5.0,1.0,1.0001,10.0,5.0,15.0,0.0,20.0,999,4.5,3.0,8.0,7.8,8.2,11792.14,16813.6,8242.524,1.141,1.202,1.08,-99.0,-99.0,1966;1960;1957;1945;1885,2.85;3.45;4.05;4.55;5.45,2022.543,-999.0,-999.0,-999.0,134.77,15.0,Extended,Non_cratonic,5,NSHA18CAT_V0.1_hmtk_declustered.csv
Zone 6,ZN6,area,6.0,1.0,1.0,10.0,5.0,15.0,0.0,20.0,999,4.5,3.2,7.7,7.5,7.9,10738.35,17578.56,6544.739,0.969,1.043,0.894,-99.0,-99.0,1979;1970;1960;1958;1905;1880,3.05;3.95;4.55;4.95;6.05;6.45,2022.543,-999.0,-999.0,-999.0,70.22,20.1,Extended,Non_cratonic,6,NSHA18CAT_V0.1_hmtk_declustered.csv
Zone 7a,ZN7a,area,7.0,1.0,1.0005,10.0,5.0,15.0,0.0,20.0,999,4.5,3.5,7.7,7.5,7.9,1382.312,2208.165,835.4895,0.973,1.058,0.888,-99.0,-99.0,1979;1970;1960;1958;1905;1880,3.05;3.95;4.55;4.95;6.05;6.45,2022.543,-999.0,-999.0,-999.0,99.42,17.69,Extended,Non_cratonic,7,NSHA18CAT_V0.1_hmtk_declustered.csv
Zone 7b,ZN7b,area,7.0,1.0,1.0,10.0,5.0,15.0,0.0,20.0,999,4.5,3.5,7.7,7.5,7.9,1368.663,2186.361,827.2398,0.973,1.058,0.888,-99.0,-99.0,1975;1965;1900;1880,2.95;4.45;6.05;6.45,2022.543,-999.0,-999.0,-999.0,50.19,27.82,Extended,Non_cratonic,7,NSHA18CAT_V0.1_hmtk_declustered.csv
