SRC_NAME,CODE,SRC_TYPE,CLASS,SRC_WEIGHT,RTE_ADJ_F,DEP_BEST,DEP_UPPER,DEP_LOWER,USD,LSD,OW_LSD,MIN_MAG,MIN_RMAG,MMAX_BEST,MMAX_LOWER,MMAX_UPPER,N0_BEST,N0_LOWER,N0_UPPER,BVAL_BEST,BVAL_LOWER,BVAL_UPPER,BVAL_FIX,BVAL_FIX_S,YCOMP,MCOMP,CAT_YMAX,PREF_STK,PREF_DIP,PREF_RKE,SHMAX,SHMAX_SIG,TRT,GMM_TRT,DOMAIN,CAT_FILE
Nusa Tenggara Shallow,NTS,area,9.0,1.0,1.0,10.0,-999.0,-999.0,0.0,30.0,999,4.5,5.55,8.0,7.8,8.2,20274.59,23190.79,17371.91,0.88,0.92,0.84,-99.0,-99.0,2005;1975;1964;1904,5.55;5.75;6.25;7.5,2022.934,100.0,90.0,0.0,164.44,20.79,Active,Non_cratonic,9,ISC-GEM_V5_hmtk_GK74_declustered_clip.csv
Tanimbar,TB,area,9.0,1.0,1.0,10.0,-999.0,-999.0,0.0,40.0,999,4.5,5.55,8.0,7.8,8.2,19474.08,21868.34,16996.41,0.88,0.92,0.84,-99.0,-99.0,2005;1975;1964;1904,5.55;5.75;6.25;7.5,2022.934,225.0,30.0,90.0,103.93,71.44,Active,Non_cratonic,9,ISC-GEM_V5_hmtk_GK74_declustered_clip.csv
West Banda Sea,WBS,area,9.0,1.0,1.0,10.0,-999.0,-999.0,0.0,40.0,999,4.5,5.55,8.0,7.8,8.2,47362.21,62864.57,34195.93,0.88,0.92,0.84,-99.0,-99.0,2005;1975;1964;1904,5.55;5.75;6.25;7.5,2022.934,90.0,30.0,90.0,25.79,15.0,Active,Non_cratonic,9,ISC-GEM_V5_hmtk_GK74_declustered_clip.csv
Taira Adiuna Fault System,TAFS,area,9.0,1.0,1.0,10.0,-999.0,-999.0,0.0,35.0,999,4.5,5.55,7.8,7.6,8.0,17847.82,19321.69,16061.1,0.88,0.92,0.84,-99.0,-99.0,2005;1975;1964;1904,5.55;5.75;6.25;7.5,2022.934,78.0,90.0,0.0,18.9,15.0,Active,Non_cratonic,9,ISC-GEM_V5_hmtk_GK74_declustered_clip.csv
Wapengo,WPG,area,9.0,1.0,1.0,10.0,-999.0,-999.0,0.0,35.0,999,4.5,5.55,7.9,7.7,8.1,19582.61,21949.16,17132.71,0.88,0.92,0.84,-99.0,-99.0,2005;1975;1964;1904,5.55;5.75;6.25;7.5,2022.934,42.0,90.0,0.0,21.33,15.0,Active,Non_cratonic,9,ISC-GEM_V5_hmtk_GK74_declustered_clip.csv
Papuan Fold-Thrust Belt,PFTB,area,9.0,1.0,1.0,27.5,-999.0,-999.0,1.0,60.0,999,4.5,5.55,8.2,8.0,8.4,39280.26,51214.01,28692.64,0.88,0.92,0.84,-99.0,-99.0,2005;1975;1964;1904,5.55;5.75;6.25;7.5,2022.934,300.0,45.0,90.0,41.47,15.0,Active,Non_cratonic,9,ISC-GEM_V5_hmtk_GK74_declustered_clip.csv
Memberamo Thrust Belt,MTB,area,9.0,1.0,1.0,25.0,-999.0,-999.0,1.0,60.0,999,4.5,5.55,8.0,7.8,8.2,63144.87,86395.21,44662.82,0.88,0.92,0.84,-99.0,-99.0,2005;1975;1964;1904,5.55;5.75;6.25;7.5,2022.934,120.0,45.0,90.0,42.81,15.0,Active,Non_cratonic,9,ISC-GEM_V5_hmtk_GK74_declustered_clip.csv
Bewani-Torricelli Fault Zone South,BTFZS,area,9.0,1.0,1.0,27.5,-999.0,-999.0,1.0,60.0,999,4.5,5.55,8.2,8.0,8.4,26931.99,33318.44,20318.38,0.88,0.92,0.84,-99.0,-99.0,2005;1975;1964;1904,5.55;5.75;6.25;7.5,2022.934,80.0,45.0,90.0,42.81,15.0,Active,Non_cratonic,9,ISC-GEM_V5_hmtk_GK74_declustered_clip.csv
Adelbert Block,ADB,area,9.0,1.0,1.0,27.5,-999.0,-999.0,1.0,60.0,999,4.5,5.55,7.8,7.6,8.0,33787.85,42187.04,25256.83,0.88,0.92,0.84,-99.0,-99.0,2005;1975;1964;1904,5.55;5.75;6.25;7.5,2022.934,90.0,90.0,0.0,32.92,15.0,Active,Non_cratonic,9,ISC-GEM_V5_hmtk_GK74_declustered_clip.csv
Huon Peninsula,HP,area,9.0,1.0,1.0,27.5,-999.0,-999.0,1.0,60.0,999,4.5,5.55,8.2,8.0,8.4,59207.48,81553.86,41681.63,0.88,0.92,0.84,-99.0,-99.0,2005;1975;1964;1904,5.55;5.75;6.25;7.5,2022.934,30.0,45.0,90.0,32.92,15.0,Active,Non_cratonic,9,ISC-GEM_V5_hmtk_GK74_declustered_clip.csv
South Bismark Plate,SBS,area,9.0,1.0,1.0,27.5,-999.0,-999.0,1.0,60.0,999,4.5,5.55,8.0,7.8,8.2,112556.2,163680.2,76131.46,0.88,0.92,0.84,-99.0,-99.0,2005;1975;1964;1904,5.55;5.75;6.25;7.5,2022.934,90.0,45.0,90.0,26.06,15.0,Active,Non_cratonic,9,ISC-GEM_V5_hmtk_GK74_declustered_clip.csv
New Britain Outer Trench,NBOT,area,9.0,1.0,1.0,20.0,-999.0,-999.0,1.0,30.0,999,4.5,5.55,8.2,8.0,8.4,82390.56,115879.7,56996.51,0.88,0.92,0.84,-99.0,-99.0,2005;1975;1964;1904,5.55;5.75;6.25;7.5,2022.934,270.0,45.0,90.0,98.4,15.0,Active,Non_cratonic,9,ISC-GEM_V5_hmtk_GK74_declustered_clip.csv
New Britain Trench,NBT,area,10.0,1.0,1.0,25.0,-999.0,-999.0,1.0,60.0,999,4.5,5.55,8.8,8.6,9.0,19761.18,44653.11,8634.59,0.723,0.796,0.649,-99.0,-99.0,2005;1975;1964;1904,5.55;5.75;6.25;7.5,2022.934,250.0,45.0,90.0,9.56,15.0,Interface,Subduction,10,ISC-GEM_V5_hmtk_GK74_declustered_clip.csv
Woodlark Microplate,WM,area,9.0,1.0,1.0,17.5,-999.0,-999.0,1.0,40.0,999,4.5,5.55,8.4,8.2,8.6,27109.53,33908.77,20319.05,0.88,0.92,0.84,-99.0,-99.0,2005;1975;1964;1904,5.55;5.75;6.25;7.5,2022.934,90.0,45.0,90.0,73.57,16.45,Active,Non_cratonic,9,ISC-GEM_V5_hmtk_GK74_declustered_clip.csv
Woodlark Basin,WB,area,9.0,1.0,1.0,10.0,-999.0,-999.0,1.0,35.0,999,4.5,5.55,7.6,7.4,7.8,30940.0,37288.68,23697.45,0.88,0.92,0.84,-99.0,-99.0,2005;1975;1964;1904,5.55;5.75;6.25;7.5,2022.934,90.0,90.0,0.0,71.86,15.0,Active,Non_cratonic,9,ISC-GEM_V5_hmtk_GK74_declustered_clip.csv
Papaua Fold-Thrust Belt - Fly Platform Boundary,PFTB-FPB,area,9.0,1.0,1.0,20.0,-999.0,-999.0,1.0,50.0,999,4.5,5.55,8.0,7.8,8.2,40431.56,51536.13,29957.51,0.88,0.92,0.84,-99.0,-99.0,2005;1975;1964;1904,5.55;5.75;6.25;7.5,2022.934,300.0,45.0,90.0,28.41,15.0,Active,Non_cratonic,9,ISC-GEM_V5_hmtk_GK74_declustered_clip.csv
Region of New Britain Deep,RNBD,area,11.7,1.0,1.0,100.0,-999.0,-999.0,60.0,200.0,400,4.5,5.55,8.3,8.1,8.5,116899.1,167714.6,79023.08,0.92,0.961,0.878,-99.0,-99.0,2005;1975;1964;1904,5.55;5.75;6.25;7.5,2022.934,250.0,45.0,90.0,0.51,15.0,Intraslab,Subduction,11,ISC-GEM_V5_hmtk_GK74_declustered_clip.csv
New Britain Trench Deep,NBTD,area,11.6,1.0,1.0,100.0,-999.0,-999.0,60.0,180.0,380,4.5,5.55,8.3,8.1,8.5,7077.725,7077.725,7077.725,0.92,0.961,0.878,-99.0,-99.0,2005;1975;1964;1904,5.55;5.75;6.25;7.5,2022.934,270.0,45.0,90.0,99.13,15.0,Intraslab,Subduction,11,ISC-GEM_V5_hmtk_GK74_declustered_clip.csv
