eventID,Agency,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude,magnitudeType
16957841,,1905,3,4,15,59,53.0,,151.225,-6.639,,,,15.0,,6.96,,MW
16957840,,1905,3,4,23,17,22.0,,149.105,-4.635,,,,15.0,,7.01,,MW
16957851,,1905,5,18,13,45,27.0,,149.949,-2.282,,,,15.0,,7.15,,MW
610548605,,1905,6,9,12,31,13.0,,162.871,-10.646,,,,15.0,,6.69,,MW
16957874,,1905,9,29,11,52,8.0,,127.465,-8.277,,,,35.0,,7.16,,MW
16957885,,1906,2,19,1,59,55.0,,160.04,-9.899,,,,15.0,,7.3,,MW
16957907,,1906,6,1,4,30,50.0,,138.56,-2.495,,,,35.0,,7.84,,MW
16957916,,1906,8,26,6,1,9.0,,144.187,-2.489,,,,15.0,,7.13,,MW
16957920,bibliog,1906,9,14,16,4,43.0,,147.216,-6.252,,,,35.0,,8.0,,MW
610548666,,1906,10,28,15,50,18.0,,101.985,-4.345,,,,60.0,,6.01,,MW
610548667,,1906,10,29,1,15,53.0,,128.202,0.185,,,,15.0,,6.35,,MW
16957931,,1906,11,19,7,18,24.0,,108.498,-21.244,,,,10.0,,7.37,,MW
16957943,bibliog,1907,1,4,5,19,13.0,,95.53,2.681,,,,25.0,,8.2,,MW
16957956,,1907,5,4,5,51,1.0,,152.821,-6.708,,,,25.0,,6.63,,MW
611389649,,1907,5,13,21,0,42.0,,149.253,-9.735,,,,35.0,,6.61,,MW
610548684,,1907,5,25,11,50,28.0,,119.791,-0.595,,,,35.0,,6.39,,MW
610548686,,1907,6,24,3,36,12.0,,118.921,1.948,,,,35.0,,6.31,,MW
610548692,,1907,7,29,19,28,35.0,,120.018,-1.112,,,,35.0,,6.34,,MW
610548701,,1907,10,4,10,27,39.0,,104.039,-6.769,,,,15.0,,6.42,,MW
610548703,,1907,10,10,21,42,41.0,,153.262,-9.094,,,,15.0,,6.25,,MW
16957978,,1907,12,15,17,34,56.0,,141.899,-2.398,,,,15.0,,6.95,,MW
610643056,,1908,3,23,12,23,41.0,,125.42,-9.04,,,,35.0,,6.79,,MW
16957992,,1908,5,5,6,17,47.0,,125.487,0.513,,,,35.0,,7.26,,MW
16958019,,1909,3,17,22,53,10.0,,121.842,-1.213,,,,35.0,,6.77,,MW
16958027,,1909,4,25,22,35,50.0,,127.123,3.117,,,,35.0,,6.5,,MW
16958028,,1909,4,27,12,42,53.0,,144.171,-3.315,,,,15.0,,7.06,,MW
16958038,,1909,6,3,18,40,43.0,,101.188,-2.713,,,,35.0,,7.58,,MW
16958095,,1910,7,7,8,16,42.0,,111.653,-9.632,,,,35.0,,6.71,,MW
16958098,,1910,7,29,10,26,38.0,,142.437,-5.297,,,,15.0,,6.58,,MW
16958106,,1910,9,7,7,11,10.0,,150.886,-6.452,,,,15.0,,6.67,,MW
16958123,,1910,12,10,9,26,46.0,,162.292,-10.68,,,,35.0,,7.46,,MW
16958127,,1910,12,16,14,44,55.0,,126.017,4.668,,,,15.0,,7.61,,MW
16958176,,1911,12,31,6,7,8.0,,140.669,-2.305,,,,15.0,,6.81,,MW
16958206,,1912,8,17,19,11,56.0,,125.973,3.568,,,,35.0,,7.49,,MW
16958210,,1912,9,11,0,47,48.0,,96.374,4.151,,,,75.0,,6.35,,MW
16958224,,1912,12,23,23,56,12.0,,122.745,-0.676,,,,35.0,,6.67,,MW
914029,,1913,1,11,13,16,58.0,,121.928,1.373,,,,35.0,,7.11,,MW
914047,,1913,3,26,21,35,49.0,,126.719,1.928,,,,70.0,,6.21,,MW
914069,,1913,5,21,13,48,36.0,,153.1,-6.511,,,,15.0,,6.31,,MW
914073,,1913,5,30,11,47,12.0,,151.512,-4.789,,,,15.0,,7.36,,MW
914074,,1913,6,4,9,57,28.0,,144.025,-2.866,,,,15.0,,6.75,,MW
914080,,1913,7,6,16,12,49.0,,128.168,-1.377,,,,35.0,,6.5,,MW
914089,,1913,8,13,4,25,42.0,,105.213,-6.746,,,,35.0,,6.63,,MW
914091,,1913,9,3,20,51,27.0,,153.489,-5.31,,,,35.0,,6.82,,MW
914095,,1913,10,11,1,34,24.0,,147.381,-6.763,,,,35.0,,6.76,,MW
914096,,1913,10,11,4,6,16.0,,146.249,-6.904,,,,15.0,,6.97,,MW
914104,,1913,11,19,3,20,25.0,,122.512,-2.39,,,,35.0,,6.79,,MW
913978,,1914,4,11,16,30,18.0,,162.725,-11.3,,,,15.0,,7.29,,MW
913981,,1914,5,18,23,42,19.0,,150.609,-4.634,,,,15.0,,6.13,,MW
913984,,1914,5,26,14,22,46.0,,136.944,-1.98,,,,15.0,,8.15,,MW
913987,,1914,5,29,4,47,20.0,,97.554,0.247,,,,35.0,,6.71,,MW
913990,,1914,6,25,19,7,25.0,,101.638,-4.012,,,,35.0,,7.55,,MW
913997,,1914,7,14,3,10,26.0,,102.579,-5.305,,,,30.0,,6.32,,MW
914014,,1914,10,23,6,18,45.0,,128.022,4.206,,,,35.0,,7.48,,MW
913888,,1915,4,3,13,42,51.0,,97.121,1.363,,,,35.0,,6.24,,MW
913892,,1915,4,16,13,55,49.0,,100.714,-2.663,,,,35.0,,5.84,,MW
913901,,1915,5,5,11,9,11.0,,130.475,-6.344,,,,35.0,,6.45,,MW
913933,,1915,8,12,7,36,31.0,,118.142,-2.815,,,,35.0,,6.28,,MW
913746,,1916,1,1,13,20,48.0,,152.626,-4.756,,,,35.0,,7.96,,MW
913750,,1916,1,13,8,20,47.0,,135.676,-3.076,,,,25.0,,7.66,,MW
913751,,1916,1,13,10,51,11.0,,135.968,-1.916,,,,35.0,,6.41,,MW
913764,,1916,2,14,10,1,46.0,,126.465,3.544,,,,70.0,,6.44,,MW
913786,,1916,4,15,12,31,43.0,,102.597,-4.338,,,,35.0,,6.71,,MW
913829,,1916,7,27,11,52,28.0,,97.963,3.175,,,,15.0,,6.09,,MW
913832,,1916,8,3,1,30,5.0,,144.402,-7.186,,,,35.0,,6.96,,MW
913844,,1916,9,3,7,13,37.0,,154.175,-7.245,,,,35.0,,6.45,,MW
16958304,,1916,9,11,6,30,37.0,,112.366,-8.769,,,,65.0,,6.62,,MW
913877,,1916,12,26,20,10,29.0,,139.176,-1.522,,,,15.0,,6.27,,MW
913396,,1917,1,20,23,11,44.0,,115.198,-8.492,,,,15.0,,6.54,,MW
913447,,1917,4,16,18,45,11.0,,99.524,-1.848,,,,35.0,,6.02,,MW
913520,,1917,6,3,14,34,39.0,,122.586,-2.896,,,,35.0,,6.14,,MW
913582,,1917,7,27,23,36,15.0,,141.324,-4.921,,,,35.0,,6.6,,MW
913586,,1917,7,29,21,52,31.0,,141.729,-3.705,,,,35.0,,7.45,,MW
913591,,1917,7,30,13,50,23.0,,139.575,-4.885,,,,35.0,,5.95,,MW
913592,,1917,7,30,16,22,44.0,,139.107,-2.876,,,,35.0,,6.15,,MW
913681,,1917,10,29,20,36,16.0,,152.949,-5.995,,,,15.0,,6.33,,MW
913684,,1917,11,4,12,3,34.0,,96.513,2.705,,,,15.0,,6.93,,MW
913040,,1918,1,21,19,45,30.0,,134.11,-0.197,,,,25.0,,6.39,,MW
913064,,1918,2,12,3,0,34.0,,96.847,0.26,,,,15.0,,6.18,,MW
913071,,1918,2,13,2,31,43.0,,102.903,-5.561,,,,25.0,,6.35,,MW
913148,,1918,5,20,18,3,40.0,,153.171,-2.268,,,,15.0,,6.97,,MW
913160,,1918,6,4,4,3,34.0,,146.157,-6.45,,,,15.0,,6.46,,MW
913172,,1918,6,16,5,11,8.0,,156.791,-7.754,,,,15.0,,6.35,,MW
913192,,1918,7,3,6,52,8.0,,143.573,-3.094,,,,15.0,,7.58,,MW
913206,,1918,7,21,6,9,45.0,,155.525,-7.337,,,,20.0,,6.69,,MW
913246,,1918,8,23,6,36,44.0,,164.917,-10.783,,,,15.0,,6.84,,MW
913251,,1918,8,31,21,53,52.0,,109.879,-9.4,,,,35.0,,6.23,,MW
913253,,1918,9,2,14,14,56.0,,146.265,-3.029,,,,15.0,,6.27,,MW
913286,,1918,9,22,9,55,0.0,,100.09,-1.457,,,,35.0,,6.51,,MW
913317,,1918,10,16,20,4,54.0,,123.376,-9.082,,,,35.0,,6.46,,MW
913329,,1918,10,27,15,27,16.0,,161.452,-10.58,,,,35.0,,6.83,,MW
913330,,1918,10,27,17,6,40.0,,149.511,-1.505,,,,15.0,,7.24,,MW
913349,,1918,11,23,22,57,42.0,,129.109,-6.794,,,,15.0,,6.75,,MW
912748,,1919,3,21,16,1,50.0,,153.888,-6.743,,,,15.0,,6.31,,MW
912756,,1919,4,2,0,34,59.0,,104.489,-5.493,,,,20.0,,6.35,,MW
912783,,1919,5,6,19,41,13.0,,153.859,-4.806,,,,35.0,,8.15,,MW
912906,,1919,8,29,5,44,3.0,,127.391,-3.028,,,,15.0,,7.0,,MW
912979,,1919,10,12,21,48,27.0,,101.465,-4.296,,,,25.0,,6.54,,MW
913004,,1919,11,18,3,58,39.0,,131.814,-6.711,,,,35.0,,6.74,,MW
912404,,1920,1,14,14,38,25.0,,151.501,-5.883,,,,15.0,,6.22,,MW
912419,,1920,2,2,11,22,24.0,,152.017,-4.967,,,,35.0,,7.81,,MW
