eventID,year,month,day,hour,minute,second,longitude,latitude,depth,magnitude,magnitudeType,Agency,flag
184003310630,1840,3,31,06,30,0,138.6,-34.9,7.0,2.80518999423,ML,ML2MW,0
184101272155,1841,1,27,21,55,0,151.6,-32.8,10.0,4.51057288795,ML,ML2MW,0
184104211500,1841,4,21,15,00,0,145.0,-38.0,,3.75212602394,ML,ML2MW,0
184110300000,1841,10,30,00,00,0,145.0,-38.0,10.0,3.75212602394,ML,ML2MW,0
184210271930,1842,10,27,19,30,0,151.6,-32.6,10.0,4.87467826114,ML,ML2MW,0
184704280630,1847,4,28,06,30,0,144.8,-37.8,10.0,3.75212602394,ML,ML2MW,0
184809130630,1848,9,13,06,30,0,138.6,-34.9,7.0,3.00812645604,ML,ML2MW,0
184809141830,1848,9,14,18,30,0,138.9,-33.7,10.0,3.4420564069,ML,ML2MW,0
184810120130,1848,10,12,01,30,0,144.8,-37.8,10.0,3.00812645604,ML,ML2MW,0
184811010000,1848,11,1,00,00,0,142.5,-38.4,10.0,3.00812645604,ML,ML2MW,0
185009240000,1850,9,24,00,00,0,149.0,-35.0,,3.75212602394,ML,ML2MW,0
185205191030,1852,5,19,10,30,0,138.517,-35.15,7.0,2.80518999423,ML,ML2MW,0
185309151630,1853,9,15,16,30,0,138.11,-32.85,11.0,4.16309390127,ML,ML2MW,0
185502182200,1855,2,18,22,00,0,138.95,-34.35,7.0,3.59501291711,ML,ML2MW,0
185502231900,1855,2,23,19,00,0,138.95,-34.35,7.0,3.07785024163,ML,ML2MW,1
185509161712,1855,9,16,17,12,0,144.8,-38.7,10.0,5.06296584268,ML,ML2MW,0
185606241650,1856,6,24,16,50,0,138.7,-34.65,7.0,4.07882202749,ML,ML2MW,0
185704271420,1857,4,27,14,20,0,138.18,-35.833,7.0,3.22041526026,ML,ML2MW,0
185808211245,1858,8,21,12,45,0,139.0,-34.567,8.0,3.51801508742,ML,ML2MW,0
185808211745,1858,8,21,17,45,0,139.0,-34.567,8.0,3.14861317637,ML,ML2MW,1
185808220930,1858,8,22,09,30,0,139.0,-34.567,8.0,3.14861317637,ML,ML2MW,1
185808231430,1858,8,23,14,30,0,139.0,-34.567,8.0,2.80518999423,ML,ML2MW,1
