eventID,year,month,day,hour,minute,second,longitude,latitude,depth,magnitude,magnitudeType,Agency
ga2019aknixf,2019,1,6,17,27,21,126.7672958,2.29697323,68.76325226,6.67286817,Mww,GA
ga2019benrih,2019,1,17,15,6,36,146.1319275,-3.37976932,0.0,6.12087922,Mw,GA
ga2019bmofyu,2019,1,21,23,59,25,119.100441,-10.24639988,36.86296082,5.99964223,Mw,GA
ga2019bmynri,2019,1,22,5,10,3,118.9712677,-10.41661358,13.56738377,6.4064456,Mw,GA
ga2019buevpu,2019,1,26,3,51,39,156.296463,-7.0171957,390.3476257,6.15876215,Mw,GA
ga2019bunmry,2019,1,26,8,12,46,133.814682,-5.52920914,0.0,6.06834626,Mww,GA
ga2019djkbti,2019,2,17,14,35,56,152.2083893,-3.3905735,383.367157,6.44548153,Mw,GA
ga2019evuvre,2019,3,10,12,47,59,151.9877167,-10.14797974,0.0,6.09426081,Mw,GA
ga2019fuwtjk,2019,3,24,4,37,37,126.3848038,1.65190196,77.1823349,6.15014806,Mw,GA
ga2019ggkmbb,2019,3,30,11,20,44,151.0281525,-5.75201416,52.85148621,6.15218456,Mw,GA
ga2019guboum,2019,4,6,21,55,2,124.9983749,-6.9333291,538.1797485,6.29858469,Mw,GA
ga2019hehkra,2019,4,12,11,40,52,122.5665817,-1.84739864,37.80249405,6.68163846,Mw,GA
ga2019henxdq,2019,4,12,14,51,34,148.5856476,-6.55369234,44.47062683,6.05397957,Mw,GA
ga2019iqnjgl,2019,5,3,7,25,33,160.096405,-6.89276886,40.64774323,6.00827508,Mw,GA
ga2019ixbwzs,2019,5,6,21,19,37,146.4568939,-6.98063755,140.23172,7.08092542,Mww,GA
ga2019jldjwt,2019,5,14,12,58,29,152.4954834,-4.12948513,47.36679459,7.57563587,Mww,GA
ga2019jrjtsr,2019,5,17,22,37,50,152.9400024,-4.58804321,50.09514999,5.99485716,Mw,GA
ga2019lzojcw,2019,6,19,17,24,49,138.4586029,-2.19917345,10.0,6.40271035,Mw,GA
ga2019mhmnol,2019,6,24,1,5,31,138.5466919,-2.81739378,42.85243225,6.0955711,Mww,GA
