eventID,year,month,day,hour,minute,second,longitude,latitude,depth,magnitude,magnitudeType,Agency,flag
184003310630,1840,3,31,06,30,0,138.6,-34.9,7.0,2.56595436031,ML,REV_ML,0
184101272155,1841,1,27,21,55,0,151.6,-32.8,10.0,4.59977507128,ML,REV_ML,0
184104211500,1841,4,21,15,00,0,145.0,-38.0,,3.7677575077,ML,REV_ML,0
184110300000,1841,10,30,00,00,0,145.0,-38.0,10.0,3.7677575077,ML,REV_ML,0
184210271930,1842,10,27,19,30,0,151.6,-32.6,10.0,4.9695606551,ML,REV_ML,0
184704280630,1847,4,28,06,30,0,144.8,-37.8,10.0,3.7677575077,ML,REV_ML,0
184809130630,1848,9,13,06,30,0,138.6,-34.9,7.0,2.84329354817,ML,REV_ML,0
184809141830,1848,9,14,18,30,0,138.9,-33.7,10.0,3.39797192389,ML,REV_ML,0
184810120130,1848,10,12,01,30,0,144.8,-37.8,10.0,2.84329354817,ML,REV_ML,0
184811010000,1848,11,1,00,00,0,142.5,-38.4,10.0,2.84329354817,ML,REV_ML,0
185009240000,1850,9,24,00,00,0,149.0,-35.0,,3.7677575077,ML,REV_ML,0
185205191030,1852,5,19,10,30,0,138.517,-35.15,7.0,2.56595436031,ML,REV_ML,0
185309151630,1853,9,15,16,30,0,138.11,-32.85,11.0,4.22998948747,ML,REV_ML,0
185502182200,1855,2,18,22,00,0,138.95,-34.35,7.0,3.5828647158,ML,REV_ML,0
185502231900,1855,2,23,19,00,0,138.95,-34.35,7.0,2.93573994412,ML,REV_ML,1
185509161712,1855,9,16,17,12,0,144.8,-38.7,10.0,5.154453447,ML,REV_ML,0
185606241650,1856,6,24,16,50,0,138.7,-34.65,7.0,4.13754309152,ML,REV_ML,0
185704271420,1857,4,27,14,20,0,138.18,-35.833,7.0,3.12063273603,ML,REV_ML,0
185808211245,1858,8,21,12,45,0,139.0,-34.567,8.0,3.49041831984,ML,REV_ML,0
185808211745,1858,8,21,17,45,0,139.0,-34.567,8.0,3.02818634007,ML,REV_ML,1
185808220930,1858,8,22,09,30,0,139.0,-34.567,8.0,3.02818634007,ML,REV_ML,1
185808231430,1858,8,23,14,30,0,139.0,-34.567,8.0,2.56595436031,ML,REV_ML,1
185906120830,1859,6,12,08,30,0,140.783,-37.833,9.0,3.67531111175,ML,REV_ML,0
185911211850,1859,11,21,18,50,0,145.2,-40.7,10.0,5.06200705105,ML,REV_ML,0
186212142055,1862,12,14,20,55,0,138.7,-34.067,8.0,3.95265029961,ML,REV_ML,0
186608241245,1866,8,24,12,45,0,138.867,-34.883,7.0,3.86020390366,ML,REV_ML,0
186612022020,1866,12,2,20,20,0,139.133,-33.367,8.0,3.12063273603,ML,REV_ML,0
