AbrahamsonEtAl2014,0.0077002778
Allen2012_SS14,0.2096752778
AtkinsonBoore2006,0.1157352778
BooreEtAl2014,0.0077002778
CampbellBozorgnia2014,0.0109018778
ChiouYoungs2008SWISS06,0.0000000000
ChiouYoungs2014,0.0103682778
DrouetBrazil2015,0.1295290000
ESHM20Craton,0.0888390000
NGAEastGMPE,0.0774795000
RietbrockEdwards2019Mean,0.0277579778
SomervilleEtAl2009NonCratonic_SS14,0.1236596000
SomervilleEtAl2009YilgarnCraton_SS14,0.1427178778
TromansEtAl2019,0.0213980000
ZhaoEtAl2006AscSWISS08,0.0265377778
