AbrahamsonEtAl2014,0.0298835000
Allen2012_SS14,0.2578695000
AtkinsonBoore2006,0.1330910000
BooreEtAl2014,0.0326065000
CampbellBozorgnia2014,0.0298835000
ChiouYoungs2008SWISS06,0.0000000000
ChiouYoungs2014,0.0298835000
DrouetBrazil2015,0.1584990000
ESHM20Craton,0.0093650000
NGAEastGMPE,0.0920040000
RietbrockEdwards2019Mean,0.0160830000
SomervilleEtAl2009NonCratonic_SS14,0.2592035000
SomervilleEtAl2009YilgarnCraton_SS14,0.0000000000
TromansEtAl2019,0.0187300000
ZhaoEtAl2006AscSWISS08,0.0645180000
