#File_name	N0	b_value	Area
D_114.50_-26.50_0.25	25.38	0.99	2761
D_114.50_-27.00_0.25	22.75	0.99	2749
D_114.50_-27.50_0.25	29.16	0.99	2737
D_114.50_-28.00_0.25	25.91	0.99	2725
D_114.50_-28.50_0.25	27.58	0.99	2712
D_114.50_-29.50_0.25	37.31	0.99	2687
D_114.50_-30.00_0.25	8.36	0.99	2673
D_114.50_-33.00_0.25	16.25	0.99	2591
D_114.50_-33.50_0.25	85.70	0.99	2576
D_114.50_-34.00_0.25	18.82	0.99	2561
D_114.50_-34.50_0.25	18.07	0.99	2546
D_114.50_-36.00_0.25	39.17	1.09	2501
D_115.00_-20.50_0.25	27.65	0.99	2887
D_115.00_-21.00_0.25	68.13	0.99	2877
D_115.00_-21.50_0.25	143.94	0.99	2868
D_115.00_-22.00_0.25	156.41	0.95	2858
D_115.00_-23.00_0.25	57.51	0.95	2838
D_115.00_-23.50_0.25	41.36	0.99	2828
D_115.00_-24.00_0.25	71.61	0.99	2817
D_115.00_-24.50_0.25	124.44	0.99	2806
D_115.00_-25.00_0.25	25.16	0.99	2795
D_115.00_-27.00_0.25	56.47	0.99	2749
D_115.00_-27.50_0.25	19.13	0.99	2737
D_115.00_-29.50_0.25	16.98	0.99	2687
D_115.00_-33.50_0.25	8.04	0.99	2576
D_115.00_-34.00_0.25	16.32	0.99	2561
D_115.00_-34.50_0.25	20.87	0.99	2546
D_115.50_-18.50_0.25	126.20	1.09	2922
D_115.50_-19.50_0.25	98.08	1.09	2905
D_115.50_-20.50_0.25	36.73	0.99	2887
D_115.50_-21.50_0.25	64.72	0.95	2868
D_115.50_-22.00_0.25	19.87	0.95	2858
D_115.50_-22.50_0.25	17.86	0.95	2848
D_115.50_-23.00_0.25	24.39	0.95	2838
D_115.50_-23.50_0.25	53.05	0.95	2828
D_115.50_-24.00_0.25	23.33	0.95	2817
D_115.50_-24.50_0.25	27.26	0.95	2806
D_115.50_-25.00_0.25	120.37	0.99	2795
D_115.50_-25.50_0.25	88.64	0.99	2784
D_115.50_-26.00_0.25	37.49	0.95	2772
D_115.50_-27.50_0.25	29.03	1.12	2737
D_115.50_-28.00_0.25	26.26	1.12	2725
D_115.50_-28.50_0.25	26.26	1.12	2712
D_115.50_-29.00_0.25	16.46	0.99	2699
D_115.50_-29.50_0.25	12.97	0.99	2687
D_115.50_-30.00_0.25	15.78	0.99	2673
D_115.50_-30.50_0.25	7.72	0.99	2660
D_115.50_-31.00_0.25	5.53	0.99	2647
D_115.50_-33.50_0.25	7.61	0.99	2576
D_115.50_-36.00_0.25	32.47	1.09	2501
D_116.00_-20.00_0.25	68.21	0.99	2896
D_116.00_-20.50_0.25	58.10	0.99	2887
D_116.00_-21.00_0.25	132.91	1.12	2877
D_116.00_-21.50_0.25	158.49	1.12	2868
D_116.00_-22.00_0.25	188.03	1.12	2858
D_116.00_-22.50_0.25	20.35	0.95	2848
D_116.00_-24.00_0.25	10.48	0.95	2817
D_116.00_-24.50_0.25	24.25	0.95	2806
D_116.00_-25.00_0.25	47.94	0.95	2795
D_116.00_-25.50_0.25	71.64	0.95	2784
D_116.00_-26.00_0.25	227.03	1.12	2772
D_116.00_-26.50_0.25	19.70	1.12	2761
D_116.00_-27.00_0.25	3686.23	1.12	2749
D_116.00_-28.00_0.25	31.70	1.12	2725
D_116.00_-28.50_0.25	107.44	1.12	2712
D_116.00_-29.00_0.25	66.18	1.12	2699
D_116.00_-30.00_0.25	24.97	1.12	2673
D_116.00_-30.50_0.25	34.88	1.12	2660
D_116.00_-31.00_0.25	10.66	0.99	2647
D_116.00_-31.50_0.25	5.53	0.99	2633
D_116.00_-33.00_0.25	19.25	1.12	2591
D_116.00_-33.50_0.25	37.36	1.12	2576
D_116.00_-35.00_0.25	8.09	0.95	2531
D_116.00_-35.50_0.25	94.69	1.09	2516
D_116.00_-36.50_0.25	53.60	1.09	2485
D_116.50_-19.00_0.25	22.33	0.99	2913
D_116.50_-19.50_0.25	39.84	0.99	2905
D_116.50_-20.00_0.25	92.57	0.99	2896
D_116.50_-20.50_0.25	243.75	1.12	2887
D_116.50_-21.00_0.25	87.37	1.12	2877
D_116.50_-21.50_0.25	90.63	1.12	2868
D_116.50_-22.00_0.25	128.95	1.12	2858
D_116.50_-24.00_0.25	11.74	0.95	2817
D_116.50_-24.50_0.25	39.27	0.95	2806
D_116.50_-25.00_0.25	31.75	0.95	2795
D_116.50_-25.50_0.25	72.24	0.95	2784
D_116.50_-26.00_0.25	79.67	1.12	2772
D_116.50_-26.50_0.25	42.78	1.12	2761
D_116.50_-27.50_0.25	36.68	1.12	2737
D_116.50_-29.00_0.25	54.31	1.12	2699
D_116.50_-29.50_0.25	108.23	1.12	2687
D_116.50_-30.00_0.25	82.24	1.12	2673
D_116.50_-30.50_0.25	401.21	1.12	2660
D_116.50_-31.00_0.25	902.71	1.12	2647
D_116.50_-31.50_0.25	130.44	1.12	2633
D_116.50_-32.00_0.25	105.96	1.12	2619
D_116.50_-32.50_0.25	14.46	1.12	2605
D_116.50_-33.00_0.25	16.55	1.12	2591
D_116.50_-33.50_0.25	47.58	1.12	2576
D_116.50_-34.50_0.25	9.04	0.95	2546
D_116.50_-36.00_0.25	33.87	1.09	2501
D_116.50_-37.50_0.25	62.13	1.09	2453
D_117.00_-17.00_0.25	196.34	1.09	2946
D_117.00_-17.50_0.25	99.66	1.09	2938
D_117.00_-19.00_0.25	17.77	0.99	2913
D_117.00_-19.50_0.25	60.20	0.99	2905
D_117.00_-20.00_0.25	49.24	1.12	2896
D_117.00_-20.50_0.25	119.64	1.12	2887
D_117.00_-21.00_0.25	198.86	1.12	2877
D_117.00_-21.50_0.25	166.53	1.12	2868
D_117.00_-22.50_0.25	38.02	1.12	2848
D_117.00_-23.00_0.25	45.84	1.12	2838
D_117.00_-25.00_0.25	68.20	0.95	2795
D_117.00_-25.50_0.25	214.97	1.12	2784
D_117.00_-26.50_0.25	29.03	1.12	2761
D_117.00_-27.00_0.25	29.03	1.12	2749
D_117.00_-27.50_0.25	22.41	1.12	2737
D_117.00_-28.00_0.25	112.79	1.12	2725
D_117.00_-29.00_0.25	99.82	1.12	2699
D_117.00_-29.50_0.25	19.16	1.12	2687
D_117.00_-30.00_0.25	232.17	1.12	2673
D_117.00_-30.50_0.25	787.22	1.12	2660
D_117.00_-31.00_0.25	2217.98	1.12	2647
D_117.00_-31.50_0.25	3683.74	1.12	2633
D_117.00_-32.00_0.25	277.44	1.12	2619
D_117.00_-32.50_0.25	309.63	1.12	2605
D_117.00_-33.00_0.25	113.72	1.12	2591
D_117.00_-33.50_0.25	220.70	1.12	2576
D_117.00_-34.00_0.25	122.46	1.12	2561
D_117.00_-34.50_0.25	67.22	0.95	2546
D_117.00_-36.00_0.25	31.29	1.09	2501
D_117.00_-37.00_0.25	29.98	1.09	2469
D_117.50_-18.50_0.25	38.70	0.99	2922
D_117.50_-19.00_0.25	84.73	0.99	2913
D_117.50_-19.50_0.25	46.82	0.99	2905
D_117.50_-20.00_0.25	119.30	1.12	2896
D_117.50_-20.50_0.25	72.57	1.12	2887
D_117.50_-24.00_0.25	7.67	0.95	2817
D_117.50_-24.50_0.25	9.51	0.95	2806
D_117.50_-25.00_0.25	63.81	0.95	2795
D_117.50_-26.00_0.25	42.99	1.12	2772
D_117.50_-26.50_0.25	37.60	1.12	2761
D_117.50_-27.00_0.25	67.68	1.12	2749
D_117.50_-27.50_0.25	69.92	1.12	2737
D_117.50_-29.00_0.25	20.81	1.12	2699
D_117.50_-29.50_0.25	28.19	1.12	2687
D_117.50_-30.00_0.25	116.64	1.12	2673
D_117.50_-30.50_0.25	785.14	1.12	2660
D_117.50_-31.00_0.25	427.55	1.12	2647
D_117.50_-31.50_0.25	205.38	1.12	2633
D_117.50_-32.00_0.25	389.71	1.12	2619
D_117.50_-32.50_0.25	27.82	1.12	2605
D_117.50_-33.00_0.25	37.96	1.12	2591
D_117.50_-33.50_0.25	175.87	1.12	2576
D_117.50_-34.00_0.25	178.09	1.12	2561
D_117.50_-34.50_0.25	37.71	0.95	2546
D_117.50_-35.00_0.25	16.83	0.95	2531
D_117.50_-36.00_0.25	31.29	1.09	2501
D_118.00_-18.00_0.25	79.11	0.99	2930
D_118.00_-18.50_0.25	35.27	0.99	2922
D_118.00_-19.00_0.25	67.78	0.99	2913
D_118.00_-19.50_0.25	134.10	1.12	2905
D_118.00_-20.00_0.25	56.26	1.12	2896
D_118.00_-21.50_0.25	646.30	1.12	2868
D_118.00_-22.50_0.25	41.96	1.12	2848
D_118.00_-23.50_0.25	120.68	1.12	2828
D_118.00_-24.00_0.25	18.14	0.95	2817
D_118.00_-25.00_0.25	37.74	0.95	2795
D_118.00_-25.50_0.25	49.10	1.12	2784
D_118.00_-30.00_0.25	92.07	1.12	2673
D_118.00_-30.50_0.25	467.66	1.12	2660
D_118.00_-31.00_0.25	282.34	1.12	2647
D_118.00_-31.50_0.25	55.09	1.12	2633
D_118.00_-32.00_0.25	71.69	1.12	2619
D_118.00_-32.50_0.25	50.59	1.12	2605
D_118.00_-33.00_0.25	52.74	1.12	2591
D_118.00_-33.50_0.25	243.48	1.12	2576
D_118.00_-34.00_0.25	135.17	1.12	2561
D_118.00_-35.00_0.25	20.75	0.95	2531
D_118.00_-36.50_0.25	52.12	1.09	2485
D_118.50_-16.50_0.25	643.13	1.09	2953
D_118.50_-18.00_0.25	116.96	0.99	2930
D_118.50_-18.50_0.25	63.41	0.99	2922
D_118.50_-19.00_0.25	32.53	0.99	2913
D_118.50_-19.50_0.25	107.75	1.12	2905
D_118.50_-20.00_0.25	23.41	1.12	2896
D_118.50_-20.50_0.25	562.97	1.12	2887
D_118.50_-22.00_0.25	34.22	1.12	2858
D_118.50_-25.00_0.25	25.94	1.12	2795
D_118.50_-26.00_0.25	29.40	1.12	2772
D_118.50_-26.50_0.25	22.80	1.12	2761
D_118.50_-30.50_0.25	219.13	1.12	2660
D_118.50_-31.00_0.25	67.56	1.12	2647
D_118.50_-31.50_0.25	50.05	1.12	2633
D_118.50_-32.00_0.25	38.64	1.12	2619
D_118.50_-33.00_0.25	32.65	1.12	2591
D_118.50_-33.50_0.25	230.21	1.12	2576
D_118.50_-34.00_0.25	145.16	1.12	2561
D_118.50_-34.50_0.25	12.66	0.95	2546
D_118.50_-35.00_0.25	14.05	0.95	2531
D_119.00_-17.00_0.25	64.96	0.99	2946
D_119.00_-17.50_0.25	23.06	0.99	2938
D_119.00_-18.00_0.25	210.34	0.99	2930
D_119.00_-18.50_0.25	127.40	0.99	2922
D_119.00_-19.00_0.25	45.47	0.99	2913
D_119.00_-20.00_0.25	49.92	1.12	2896
D_119.00_-21.00_0.25	26.64	1.12	2877
D_119.00_-21.50_0.25	196.05	1.12	2868
D_119.00_-22.00_0.25	95.59	1.12	2858
D_119.00_-22.50_0.25	195.22	1.12	2848
D_119.00_-27.00_0.25	33.26	1.12	2749
D_119.00_-27.50_0.25	20.03	1.12	2737
D_119.00_-29.50_0.25	36.85	1.12	2687
D_119.00_-30.50_0.25	43.16	1.12	2660
D_119.00_-31.00_0.25	66.93	1.12	2647
D_119.00_-31.50_0.25	88.19	1.12	2633
D_119.00_-32.00_0.25	80.44	1.12	2619
D_119.00_-32.50_0.25	140.72	1.12	2605
D_119.00_-33.00_0.25	113.55	1.12	2591
D_119.00_-33.50_0.25	71.35	1.12	2576
D_119.00_-34.00_0.25	34.10	1.12	2561
D_119.00_-35.00_0.25	7.91	0.95	2531
D_119.00_-37.00_0.25	26.43	1.09	2469
D_119.50_-17.00_0.25	124.12	0.99	2946
D_119.50_-17.50_0.25	98.17	0.99	2938
D_119.50_-18.00_0.25	97.42	0.99	2930
D_119.50_-18.50_0.25	27.69	0.99	2922
D_119.50_-19.00_0.25	20.48	0.99	2913
D_119.50_-19.50_0.25	34.50	1.12	2905
D_119.50_-20.00_0.25	320.02	1.12	2896
D_119.50_-20.50_0.25	146.73	1.12	2887
D_119.50_-21.00_0.25	116.83	1.12	2877
D_119.50_-21.50_0.25	37.67	1.12	2868
D_119.50_-22.00_0.25	26.64	1.12	2858
D_119.50_-22.50_0.25	112.04	1.12	2848
