SRC_NAME,CODE,SRC_TYPE,CLASS,SRC_WEIGHT,RTE_ADJ_F,DEP_BEST,DEP_UPPER,DEP_LOWER,USD,LSD,OW_LSD,MIN_MAG,MIN_RMAG,MMAX_BEST,MMAX_LOWER,MMAX_UPPER,N0_BEST,N0_LOWER,N0_UPPER,BVAL_BEST,BVAL_LOWER,BVAL_UPPER,BVAL_FIX,BVAL_FIX_S,YCOMP,MCOMP,CAT_YMAX,PREF_STK,PREF_DIP,PREF_RKE,SHMAX,SHMAX_SIG,TRT,GMM_TRT,DOMAIN,CAT_FILE
Albany-Fraser,ALF,area,3.0,1.0,1.0,5.0,2.5,10.0,0.0,20.0,999,4.5,3.2,7.5,7.3,7.7,540.6462,587.7714,476.5784,0.946,0.989,0.903,0.946,0.043,1985;1970;1960;1905;1880,3.05;4.05;4.55;6.05;6.45,2022.543,-999.0,-999.0,-999.0,88.61,15.0,Cratonic,Cratonic,3,NSHA23CAT_V0.1_hmtk_declustered.csv
Amadeus Basin,AMD,area,3.0,1.0,1.0,5.0,2.5,10.0,0.0,20.0,999,4.5,3.2,7.5,7.3,7.7,347.0934,337.2596,327.4461,0.946,0.989,0.903,0.946,0.043,1995;1970;1960;1905;1880,3.05;3.95;4.55;6.05;6.55,2022.543,-999.0,-999.0,-999.0,44.4,15.0,Cratonic,Cratonic,3,NSHA23CAT_V0.1_hmtk_declustered.csv
Arunta Block,ATB,area,3.0,1.0,1.0,5.0,2.5,10.0,0.0,20.0,999,4.5,3.2,7.5,7.3,7.7,1350.353,1569.606,1135.911,0.946,0.989,0.903,0.946,0.043,1995;1970;1960;1905;1880,3.05;3.95;4.55;6.05;6.55,2022.543,-999.0,-999.0,-999.0,34.08,20.82,Cratonic,Cratonic,3,NSHA23CAT_V0.1_hmtk_declustered.csv
Ballan,BAL,area,4.0,1.0,1.0,10.0,5.0,15.0,0.0,20.0,999,4.5,3.0,7.5,7.3,7.7,272.8805,162.4134,413.1645,1.238,1.277,1.199,1.238,0.039,1980;1970;1960;1950;1885,2.95;3.45;4.05;4.55;5.65,2022.543,-999.0,-999.0,-999.0,130.38,15.0,Non_cratonic,Non_cratonic,4,NSHA23CAT_V0.1_hmtk_declustered.csv
Ballarat,BRT,area,4.0,1.0,1.0,10.0,5.0,15.0,0.0,20.0,999,4.5,3.0,7.5,7.3,7.7,507.8082,348.9282,691.1985,1.238,1.277,1.199,1.238,0.039,1980;1970;1960;1950;1885,2.95;3.45;4.05;4.55;5.65,2022.543,-999.0,-999.0,-999.0,130.38,15.0,Non_cratonic,Non_cratonic,4,NSHA23CAT_V0.1_hmtk_declustered.csv
Bass Strait,BAS,area,5.0,1.0,1.0,10.0,5.0,15.0,0.0,20.0,999,4.5,3.0,7.5,7.3,7.7,1738.049,2164.488,1354.577,1.141,1.201,1.081,1.141,0.06,1980;1970;1960;1950;1885,2.95;3.45;4.05;4.55;5.65,2022.543,-999.0,-999.0,-999.0,134.99,15.0,Extended,Non_cratonic,5,NSHA23CAT_V0.1_hmtk_declustered.csv
Bathurst,BAT,area,4.0,1.0,1.0,10.0,5.0,15.0,0.0,20.0,999,4.5,3.0,7.5,7.3,7.7,3139.726,3332.182,2856.373,1.238,1.277,1.199,1.238,0.039,1990;1960;1945;1885,2.85;3.45;4.55;5.45,2022.543,-999.0,-999.0,-999.0,74.72,15.0,Non_cratonic,Non_cratonic,4,NSHA23CAT_V0.1_hmtk_declustered.csv
Bendigo,BEN,area,4.0,1.0,1.0,10.0,5.0,15.0,0.0,20.0,999,4.5,3.0,7.5,7.3,7.7,316.5111,188.3815,479.2249,1.238,1.277,1.199,1.238,0.039,1980;1970;1960;1950;1885,2.95;3.45;4.05;4.55;5.65,2022.543,-999.0,-999.0,-999.0,130.38,15.0,Non_cratonic,Non_cratonic,4,NSHA23CAT_V0.1_hmtk_declustered.csv
Bowen,BOW,area,4.0,1.0,1.0,10.0,5.0,15.0,0.0,20.0,999,4.5,3.0,7.5,7.3,7.7,2050.219,2050.219,2050.219,1.238,1.277,1.199,1.238,0.039,2000;1990;1970;1960;1900;1880,2.95;3.45;3.95;4.45;6.05;6.45,2022.543,-999.0,-999.0,-999.0,45.77,15.0,Non_cratonic,Non_cratonic,4,NSHA23CAT_V0.1_hmtk_declustered.csv
Bunnaloo,BUN,area,4.0,1.0,1.0,10.0,5.0,15.0,0.0,20.0,999,4.5,3.0,7.5,7.3,7.7,1773.483,1750.811,1690.775,1.238,1.277,1.199,1.238,0.039,1980;1970;1960;1950;1885,2.95;3.45;4.05;4.55;5.65,2022.543,-999.0,-999.0,-999.0,130.38,15.0,Non_cratonic,Non_cratonic,4,NSHA23CAT_V0.1_hmtk_declustered.csv
Burdekin,BUR,area,4.0,1.0,1.0,10.0,5.0,15.0,0.0,20.0,999,4.5,3.0,7.5,7.3,7.7,944.9246,743.0268,1157.607,1.238,1.277,1.199,1.238,0.039,2000;1990;1970;1960;1900;1880,2.95;3.45;3.95;4.45;6.05;6.45,2022.543,-999.0,-999.0,-999.0,30.2,15.0,Non_cratonic,Non_cratonic,4,NSHA23CAT_V0.1_hmtk_declustered.csv
Canberra,CBR,area,4.0,1.0,1.0,10.0,5.0,15.0,0.0,20.0,999,4.5,3.0,7.5,7.3,7.7,2080.063,2053.472,1983.058,1.238,1.277,1.199,1.238,0.039,1990;1960;1945;1885,2.85;3.45;4.55;5.45,2022.543,-999.0,-999.0,-999.0,92.99,15.0,Non_cratonic,Non_cratonic,4,NSHA23CAT_V0.1_hmtk_declustered.csv
Canning,CNG,area,3.0,1.0,1.0003,5.0,2.5,10.0,0.0,20.0,999,4.5,3.2,7.5,7.3,7.7,3506.23,4397.131,2777.07,0.946,0.989,0.903,0.946,0.043,1985;1970;1960;1905;1880,3.05;4.05;4.55;6.05;6.45,2022.543,-999.0,-999.0,-999.0,63.69,15.0,Cratonic,Cratonic,3,NSHA23CAT_V0.1_hmtk_declustered.csv
Canowindra,CAN,area,4.0,1.0,1.0,10.0,5.0,15.0,0.0,20.0,999,4.5,3.0,7.5,7.3,7.7,3840.559,4171.221,3437.884,1.238,1.277,1.199,1.238,0.039,1990;1960;1945;1885,2.85;3.45;4.55;5.45,2022.543,-999.0,-999.0,-999.0,67.65,15.0,Non_cratonic,Non_cratonic,4,NSHA23CAT_V0.1_hmtk_declustered.csv
Cape York,CYK,area,1.0,1.0,0.9996,5.0,2.5,10.0,0.0,20.0,999,4.5,3.3,7.3,7.1,7.5,372.5549,372.5549,372.5549,1.064,1.113,1.015,1.064,0.049,1980;1964;1900,3.5;5.0;6.0,2022.543,-999.0,-999.0,-999.0,27.13,15.0,Cratonic,Cratonic,1,NSHA23CAT_V0.1_hmtk_declustered.csv
Carpenteria,CPT,area,1.0,1.0,0.9998,5.0,2.5,10.0,0.0,20.0,999,4.5,3.3,7.3,7.1,7.5,235.013,175.1976,294.8458,1.064,1.113,1.015,1.064,0.049,1995;1970;1960;1905;1880,3.05;3.95;4.55;6.05;6.55,2022.543,-999.0,-999.0,-999.0,21.27,22.63,Cratonic,Cratonic,1,NSHA23CAT_V0.1_hmtk_declustered.csv
Clarence Moreton,CLM,area,4.0,1.0,1.0,10.0,5.0,15.0,0.0,20.0,999,4.5,3.0,7.5,7.3,7.7,633.0222,497.7672,775.5025,1.238,1.277,1.199,1.238,0.039,1980;1970;1960;1900;1880,2.95;3.95;4.45;6.05;6.45,2022.543,-999.0,-999.0,-999.0,56.62,15.0,Non_cratonic,Non_cratonic,4,NSHA23CAT_V0.1_hmtk_declustered.csv
Cobar,COB,area,4.0,1.0,1.0,10.0,5.0,15.0,0.0,20.0,999,4.5,3.0,7.5,7.3,7.7,3543.446,3617.909,3296.991,1.238,1.277,1.199,1.238,0.039,1995;1980;1970;1960;1905;1880,3.05;3.45;3.95;4.55;6.05;6.55,2022.543,-999.0,-999.0,-999.0,81.89,15.0,Non_cratonic,Non_cratonic,4,NSHA23CAT_V0.1_hmtk_declustered.csv
Coen Block,CON,area,1.0,1.0,1.0,5.0,2.5,10.0,0.0,20.0,999,4.5,3.3,7.3,7.1,7.5,218.9151,114.3744,344.123,1.064,1.113,1.015,1.064,0.049,2000;1990;1970;1960;1900;1880,2.95;3.45;3.95;4.45;6.05;6.45,2022.543,-999.0,-999.0,-999.0,22.2,15.0,Cratonic,Cratonic,1,NSHA23CAT_V0.1_hmtk_declustered.csv
Coorong,COO,area,2.0,1.0,1.0,10.0,5.0,15.0,0.0,20.0,999,4.5,3.0,7.5,7.3,7.7,1986.939,1931.758,1873.389,1.314,1.36,1.268,1.314,0.046,1980;1970;1960;1950;1885,2.95;3.45;4.05;4.55;5.65,2022.543,-999.0,-999.0,-999.0,126.73,15.0,Non_cratonic,Non_cratonic,2,NSHA23CAT_V0.1_hmtk_declustered.csv
Copeton,COP,area,4.0,1.0,1.0,10.0,5.0,15.0,0.0,20.0,999,4.5,3.0,7.5,7.3,7.7,3461.542,3726.137,3118.29,1.238,1.277,1.199,1.238,0.039,1980;1970;1960;1900;1880,2.95;3.95;4.45;6.05;6.45,2022.543,-999.0,-999.0,-999.0,59.58,15.0,Non_cratonic,Non_cratonic,4,NSHA23CAT_V0.1_hmtk_declustered.csv
